College Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Total_Cost,Acceptance_Rate,Faculty_Quality_Index,Student_Success_Index,Region,College_Size,Funding_Type,Academic_Standing
Aquinas College,Yes,619.0,516,219,20.0,51,1251,767,11208.0,4124.0,350,1615,55.0,65.0,12.7,25,6584.0,65,17297,0.833602585,52.0,43.92412805,South,Small,Public,Medium
Arizona State University Main campus,No,12809.0,10308,3761,24.0,49,22593,7585,9998.0,4200.0,700,2100,75.0,82.0,18.9,5,8415.0,48,15084,0.804746663,77.2,23.92734632,Midwest,Large,Private,Low
Arkansas College (Lyon College),Yes,708.0,334,166,46.0,74,530,182,8644.0,3922.0,500,800,79.0,88.0,12.6,24,14579.0,54,13866,0.471751412,76.0,31.45993042,Northeast,Small,Public,Low
Arkansas Tech University,No,1734.0,1729,951,12.0,52,3602,939,3460.0,2650.0,450,1000,57.0,60.0,19.6,5,4739.0,48,7560,0.997116494,49.2,19.8516199,South,Medium,Private,Low
Assumption College,Yes,2135.0,1700,491,23.0,59,1708,689,12000.0,5920.0,500,500,93.0,93.0,13.8,30,7100.0,88,18920,0.796252927,79.0,60.42937231,Northeast,Small,Private,High
Auburn University-Main Campus,No,7548.0,6791,3070,25.0,57,16262,1716,6300.0,4200.0,600,1908,85.0,91.0,16.7,18,6642.0,69,8808,0.899708532,75.4,47.35807936,West,Large,Private,Medium
Augsburg College,Yes,662.0,513,257,23.0,30,2074,726,11902.0,4372.0,540,950,65.0,65.0,12.8,31,7836.0,58,17764,0.774924471,56.6,38.47768645,West,Medium,Public,Low
Augustana College IL,Yes,1879.0,1658,497,36.0,69,1950,38,13353.0,4173.0,540,821,78.0,83.0,12.7,40,9220.0,71,18887,0.882384247,71.6,55.0943952,Midwest,Small,Private,Medium
Augustana College,Yes,761.0,725,306,21.0,58,1337,300,10990.0,3244.0,600,1021,66.0,70.0,10.4,30,6871.0,69,15855,0.952693824,58.6,54.29259918,South,Small,Public,Medium
Austin College,Yes,948.0,798,295,42.0,74,1120,15,11280.0,4342.0,400,1150,81.0,95.0,13.0,33,11361.0,71,17172,0.841772152,78.8,48.84805788,South,Small,Private,Medium
Averett College,Yes,627.0,556,172,16.0,40,777,538,9998.0,4135.0,750,1350,59.0,67.0,13.6,11,6523.0,48,6235,0.88676236,53.6,22.92653166,South,Small,Public,Low
Baker University,Yes,602.0,483,206,21.0,47,958,466,8620.0,4200.0,400,2250,58.0,68.0,11.0,21,6136.0,65,11270,0.802325581,54.6,48.5864079,Northeast,Small,Private,Medium
Baldwin-Wallace College,Yes,1690.0,1366,662,30.0,61,2718,1460,10995.0,4410.0,1000,1000,68.0,74.0,17.6,20,8086.0,85,17405,0.808284024,62.8,62.27680114,Midwest,Medium,Public,High
Barat College,Yes,261.0,192,111,15.0,36,453,266,9690.0,4300.0,500,500,57.0,77.0,9.7,35,9337.0,71,14990,0.735632184,56.6,51.24695785,Northeast,Small,Public,Medium
Bard College,Yes,1910.0,838,285,50.0,85,1004,15,19264.0,6206.0,750,750,98.0,98.0,10.4,30,13894.0,79,26970,0.438743455,88.4,60.20739875,South,Small,Private,High
Barnard College,Yes,2496.0,1402,531,53.0,95,2121,69,17926.0,8124.0,600,850,83.0,93.0,13.6,33,12580.0,91,27500,0.561698718,81.0,57.87585952,Northeast,Medium,Public,Elite
Barry University,Yes,990.0,784,279,18.0,45,1811,3144,11290.0,5360.0,7000,1800,76.0,78.0,12.6,11,9084.0,72,25450,0.791919192,65.2,60.44377693,South,Small,Public,Medium
Baylor University,Yes,6075.0,5349,2367,34.0,66,9919,484,9998.0,4200.0,600,1346,75.0,82.0,18.5,38,8415.0,72,12316,0.880493827,65.6,45.60286123,South,Large,Private,Medium
Beaver College,Yes,1163.0,850,348,23.0,56,878,519,12850.0,5400.0,400,800,78.0,89.0,12.2,30,8954.0,73,19450,0.730868444,71.4,54.84611464,West,Small,Private,Medium
Bellarmine College,Yes,807.0,707,308,39.0,63,1198,605,8840.0,2950.0,750,1290,74.0,82.0,13.1,31,6668.0,84,13830,0.876084263,70.2,50.36326153,Midwest,Small,Public,High
Belmont Abbey College,Yes,632.0,494,129,17.0,36,709,131,9000.0,4850.0,300,2480,78.0,85.0,13.2,10,7550.0,52,16630,0.78164557,68.6,31.74867656,Northeast,Small,Religious,Low
Belmont University,Yes,1220.0,974,481,28.0,67,1964,623,7800.0,3664.0,650,900,61.0,61.0,11.1,19,7614.0,49,13014,0.798360656,54.4,41.88184323,South,Small,Private,Low
Beloit College,Yes,1320.0,923,284,26.0,54,1085,81,16304.0,3616.0,355,715,87.0,95.0,11.1,26,12957.0,69,20990,0.699242424,78.0,46.99550088,Northeast,Small,Religious,Medium
Bemidji State University,No,1208.0,877,546,12.0,36,3796,824,4425.0,2700.0,660,1800,57.0,62.0,19.6,16,3752.0,46,9585,0.725993377,50.0,36.39961303,Northeast,Medium,Private,Low
Benedictine College,Yes,632.0,620,222,14.0,24,702,501,9550.0,3850.0,350,250,64.0,84.0,14.1,18,5922.0,58,14000,0.981012658,62.0,41.78477694,West,Small,Private,Low
Bennington College,Yes,519.0,327,114,25.0,53,457,2,21700.0,4100.0,600,500,35.0,59.0,10.1,33,16364.0,55,26900,0.630057803,42.6,37.97520922,West,Small,Private,Low
Bentley College,Yes,3466.0,2330,640,20.0,60,3095,1533,13800.0,5510.0,630,850,87.0,87.0,17.5,20,10941.0,82,20790,0.672244662,73.6,64.21925162,South,Medium,Private,High
Berry College,Yes,1549.0,1221,480,37.0,68,1620,49,8050.0,3940.0,350,2375,80.0,80.0,16.3,17,10511.0,63,14715,0.779156328,71.4,42.91670588,West,Small,Religious,Medium
Bethany College,Yes,878.0,816,200,16.0,41,706,62,8740.0,3363.0,550,1700,62.0,68.0,11.6,29,7718.0,48,14353,0.929384966,55.2,24.69630946,Northeast,Small,Public,Low
Bethel College KS,Yes,202.0,184,122,19.0,42,537,101,8540.0,3580.0,500,1400,61.0,80.0,8.8,32,8324.0,56,14020,0.910891089,60.2,35.18379954,Northeast,Small,Public,Low
Bethel College,Yes,502.0,384,104,11.0,28,347,74,6200.0,2900.0,600,800,63.0,63.0,11.7,13,7623.0,35,10500,0.764940239,52.6,27.25595864,Midwest,Small,Public,Low
Bethune Cookman College,Yes,1646.0,1150,542,12.0,30,2128,82,5188.0,3396.0,650,2500,48.0,48.0,13.8,9,6817.0,58,11734,0.698663426,40.8,42.57754553,Northeast,Medium,Religious,Low
Birmingham-Southern College,Yes,805.0,588,287,67.0,88,1376,207,11660.0,4325.0,400,900,74.0,79.0,14.0,34,8649.0,72,17285,0.730434783,74.6,42.56470875,West,Small,Public,Medium
Blackburn College,Yes,500.0,336,156,25.0,55,421,27,6500.0,2700.0,500,1000,76.0,76.0,14.3,53,8377.0,51,10700,0.672,65.8,32.0782874,Northeast,Small,Private,Low
Bloomsburg Univ. of Pennsylvania,No,6773.0,3028,1025,15.0,55,5847,946,7844.0,2948.0,500,1680,66.0,68.0,18.0,19,7041.0,125,12972,0.447069246,56.6,84.59139325,South,Medium,Private,Low
Bluefield College,Yes,377.0,358,181,15.0,30,653,129,7150.0,4350.0,450,1500,61.0,67.0,17.8,3,6259.0,53,13450,0.949602122,54.2,35.27265203,West,Small,Religious,Low
Bluffton College,Yes,692.0,514,209,20.0,50,760,81,9998.0,3990.0,400,900,76.0,71.0,13.3,19,9073.0,58,5290,0.742774566,62.8,33.72043206,South,Small,Public,Low
Boston University,Yes,20192.0,13007,3810,45.0,80,14971,3113,18420.0,6810.0,475,1025,80.0,81.0,11.9,16,16836.0,72,26730,0.644166006,73.4,47.25814446,Northeast,Large,Private,Medium
Bowdoin College,Yes,3356.0,1019,418,23.0,100,1490,8,19030.0,5885.0,1495,875,93.0,96.0,11.2,52,20447.0,96,27285,0.30363528,80.2,63.55694757,Midwest,Small,Religious,Elite
Bowling Green State University,No,9251.0,7333,3076,14.0,45,13699,1213,7452.0,3352.0,600,1700,81.0,89.0,21.1,14,6918.0,67,13104,0.792671063,70.8,50.7576663,South,Large,Public,Medium
Bradford College,Yes,443.0,330,151,5.0,36,453,42,14080.0,6270.0,500,900,57.0,80.0,10.2,21,15387.0,46,21750,0.744920993,55.8,36.24560655,West,Small,Private,Low
Bradley University,Yes,3767.0,3414,1061,30.0,58,4531,643,10870.0,4440.0,2000,1522,75.0,81.0,14.4,21,7671.0,85,18832,0.906291479,68.4,58.77094771,Midwest,Medium,Public,High
Brandeis University,Yes,1549.0,2743,740,48.0,77,2819,62,19380.0,6750.0,410,1000,90.0,97.0,9.8,24,17150.0,84,27540,0.779156328,84.4,56.83980102,Midwest,Medium,Private,High
Brenau University,Yes,367.0,274,158,12.0,41,917,479,9998.0,5879.0,500,700,71.0,80.0,13.7,12,120000.0,49,7079,0.746594005,62.8,34.99962156,West,Small,Private,Low
Brewton-Parker College,Yes,1549.0,1228,1202,10.0,26,1320,822,9998.0,4200.0,500,2000,75.0,82.0,12.6,10,8415.0,18,9241,0.779156328,51.6,8.517124463,West,Small,Public,Low
Briar Cliff College,Yes,392.0,351,155,16.0,44,738,430,9998.0,4200.0,600,1500,75.0,82.0,13.1,26,8415.0,58,15957,0.895408163,45.2,34.86583959,Midwest,Small,Public,Low
Bridgewater College,Yes,838.0,673,292,22.0,53,881,55,10265.0,4200.0,560,875,68.0,73.0,13.2,24,8655.0,82,11700,0.803102625,60.8,52.69889396,Northeast,Small,Public,High
Brigham Young University at Provo,Yes,7365.0,5402,4615,48.0,82,27378,1253,2340.0,3580.0,860,1220,76.0,76.0,20.5,40,7916.0,33,8000,0.733469111,70.4,19.92593418,South,Large,Public,Low
Brown University,Yes,1549.0,3239,1462,23.0,95,5643,349,19528.0,5926.0,720,1100,99.0,100.0,7.6,39,20440.0,97,27274,0.779156328,84.2,62.082631,West,Medium,Private,Elite
Bryn Mawr College,Yes,1549.0,810,313,71.0,95,1088,16,9998.0,6750.0,500,1200,100.0,100.0,12.3,49,17449.0,89,8450,0.779156328,94.2,63.1102978,West,Small,Public,High
Bucknell University,Yes,6548.0,3813,862,49.0,85,3316,31,9998.0,4200.0,800,1200,95.0,97.0,14.2,36,13675.0,93,2000,0.582315211,86.6,68.74857837,Midwest,Medium,Public,Elite
Buena Vista College,Yes,860.0,688,285,32.0,70,1928,442,13306.0,3797.0,5000,950,62.0,69.0,8.8,10,150000.0,78,23053,0.8,58.8,46.6645085,Northeast,Small,Private,High
Butler University,Yes,2362.0,2037,700,40.0,68,2607,148,13130.0,4650.0,500,1600,77.0,81.0,10.9,29,9511.0,83,19880,0.862404742,71.2,58.22564356,South,Medium,Private,High
Cabrini College,Yes,599.0,494,224,8.0,28,1035,446,10518.0,6250.0,300,300,59.0,76.0,16.5,36,7117.0,71,17368,0.824707846,55.6,48.60032102,West,Small,Private,Medium
Caldwell College,Yes,1011.0,604,213,17.0,42,693,868,8900.0,4200.0,425,1000,87.0,96.0,13.9,25,7922.0,55,10325,0.597428289,76.6,40.20754343,West,Small,Religious,Low
California Lutheran University,Yes,563.0,247,247,23.0,52,1427,432,12950.0,4200.0,612,576,75.0,74.0,12.4,17,8985.0,60,14138,0.438721137,64.2,41.93530616,Northeast,Small,Public,Low
California Polytechnic-San Luis,No,7811.0,3817,1650,47.0,73,12911,1404,9998.0,4200.0,612,2091,75.0,82.0,13.6,13,8415.0,59,14960,0.488669825,70.6,34.0320036,Midwest,Large,Private,Low
California State University at Fresno,No,4540.0,3294,1483,5.0,60,13494,1254,7706.0,4368.0,600,1926,90.0,90.0,21.2,8,7268.0,61,14600,0.725550661,73.0,36.38805351,Midwest,Large,Public,Medium
Calvin College,Yes,1784.0,1512,913,29.0,56,3401,136,10230.0,3710.0,400,1210,75.0,81.0,14.8,41,7786.0,81,15550,0.847533632,68.2,56.84711788,Northeast,Medium,Private,High
Campbell University,Yes,2087.0,1339,657,20.0,54,3191,1204,7550.0,2790.0,600,500,77.0,77.0,21.8,34,3739.0,63,11440,0.6415908,65.6,49.2439046,West,Medium,Religious,Medium
Campbellsville College,Yes,848.0,587,298,25.0,55,935,184,6060.0,3070.0,600,1300,75.0,66.0,17.7,13,5391.0,49,11030,0.692216981,61.4,23.22906314,Northeast,Small,Private,Low
Canisius College,Yes,2853.0,2193,753,16.0,34,2978,434,10750.0,5340.0,400,1130,90.0,92.0,14.6,26,7972.0,64,17620,0.768664564,76.0,46.5286329,South,Medium,Private,Medium
Capital University,Yes,1747.0,1382,449,34.0,66,1662,960,13050.0,4200.0,500,800,64.0,69.0,12.1,27,9557.0,83,14350,0.791070406,60.0,64.04811003,West,Small,Private,High
Capitol College,Yes,100.0,90,35,10.0,52,282,331,8400.0,2812.0,300,2134,10.0,50.0,12.1,24,7976.0,52,13646,0.9,26.0,35.63487062,South,Small,Public,Low
Carleton College,Yes,2694.0,1579,489,75.0,93,1870,12,19292.0,3957.0,550,550,81.0,93.0,10.4,60,17960.0,91,24349,0.586117298,84.6,66.45101248,West,Small,Private,Elite
Carnegie Mellon University,Yes,8728.0,5201,1191,23.0,89,4265,291,17900.0,5690.0,450,1250,86.0,93.0,9.2,31,24386.0,74,25290,0.595898258,76.2,48.2846546,Midwest,Medium,Private,Medium
Carroll College,Yes,1160.0,991,352,19.0,55,1357,737,12200.0,4200.0,480,930,75.0,81.0,17.8,25,7666.0,79,13610,0.854310345,66.2,54.703169,West,Small,Religious,High
Carson-Newman College,Yes,1096.0,951,464,27.0,62,1776,239,8150.0,3150.0,400,500,61.0,62.0,13.6,16,6716.0,67,12200,0.86770073,54.6,38.79543241,Midwest,Small,Private,Medium
Carthage College,Yes,1616.0,1427,434,20.0,43,1405,580,13125.0,3775.0,500,25000,74.0,89.0,15.9,22,7364.0,62,42400,0.883044554,69.2,31.67828346,Northeast,Small,Public,Medium
Case Western Reserve University,Yes,3877.0,3156,713,71.0,93,3051,513,15700.0,4730.0,525,1460,75.0,95.0,2.9,29,19733.0,67,22415,0.814031468,82.2,51.61382901,Midwest,Medium,Private,Medium
Castleton State College,No,1257.0,940,363,9.0,22,1547,294,7656.0,4690.0,400,25000,89.0,91.0,14.7,8,6318.0,79,37746,0.747812251,73.8,50.37502536,Midwest,Small,Public,High
Catawba College,Yes,1083.0,880,291,13.0,34,915,80,9270.0,4100.0,600,1860,75.0,82.0,13.5,27,8425.0,55,15830,0.81255771,65.4,36.22236077,South,Small,Public,Low
Catholic University of America,Yes,1754.0,1465,505,24.0,49,2159,211,13712.0,6408.0,526,1100,90.0,96.0,9.3,18,12751.0,75,21746,0.835233751,79.2,45.56778873,Midwest,Medium,Public,Medium
Cazenovia College,Yes,3847.0,3433,527,9.0,35,1010,12,9998.0,4840.0,600,500,22.0,47.0,14.3,20,7697.0,118,5940,0.892383676,29.4,75.55015148,Midwest,Small,Private,Low
Cedar Crest College,Yes,1549.0,607,198,25.0,58,791,764,14340.0,5285.0,500,1000,58.0,83.0,11.7,39,10961.0,74,21125,0.779156328,61.4,50.9308115,Midwest,Small,Public,Medium
Cedarville College,Yes,1307.0,1090,616,25.0,55,2196,82,7344.0,4410.0,570,1000,50.0,52.0,15.3,34,6897.0,64,13324,0.833970926,45.8,41.15211403,Midwest,Medium,Public,Medium
Centenary College,Yes,369.0,312,90,12.0,46,396,526,11400.0,4200.0,500,760,41.0,85.0,9.5,20,9583.0,24,12660,0.845528455,52.8,18.68985499,South,Small,Public,Low
Centenary College of Louisiana,Yes,495.0,434,210,35.0,55,775,44,8950.0,3490.0,600,1900,86.0,92.0,11.3,25,9685.0,66,14940,0.876767677,78.2,48.46269209,Midwest,Small,Religious,Medium
Center for Creative Studies,Yes,601.0,396,203,1.0,20,525,323,11230.0,6643.0,2340,620,8.0,58.0,6.8,4,13025.0,47,20833,0.65890183,26.6,34.50424823,West,Small,Private,Low
Central College,Yes,1283.0,1113,401,31.0,65,1355,40,10938.0,3660.0,650,600,76.0,90.0,13.5,29,8444.0,67,15848,0.867498051,72.6,48.09300395,Midwest,Small,Public,Medium
Central Connecticut State University,No,4158.0,2532,902,6.0,24,6394,3881,5962.0,4200.0,500,985,69.0,73.0,16.7,4,4900.0,49,7447,0.608946609,58.0,42.18884102,West,Medium,Public,Low
Central Missouri State University,No,4681.0,4101,1436,23.0,35,8094,1596,4620.0,3288.0,300,2250,75.0,80.0,19.7,4,5501.0,50,10458,0.876094852,66.6,29.66203115,Midwest,Large,Private,Low
Central Washington University,No,2785.0,2011,1007,8.0,65,6507,898,7242.0,3603.0,654,1416,67.0,89.0,18.1,0,6413.0,51,12915,0.722082585,64.0,35.42532567,Northeast,Medium,Public,Low
Central Wesleyan College,Yes,174.0,146,88,23.0,29,1047,33,8300.0,3080.0,600,600,62.0,62.0,15.2,18,3365.0,58,12580,0.83908046,54.2,46.2634491,Northeast,Small,Private,Low
Centre College,Yes,1013.0,888,288,55.0,82,943,7,11850.0,4270.0,600,900,95.0,99.0,11.4,60,13118.0,74,17620,0.876604146,88.6,58.12269905,West,Small,Public,Medium
Chapman University,Yes,959.0,771,351,23.0,48,1662,209,9998.0,5895.0,600,25000,72.0,80.0,12.8,6,12692.0,47,31495,0.803962461,65.4,25.79118175,West,Small,Religious,Low
Chatham College,Yes,212.0,197,91,28.0,56,471,148,13500.0,5230.0,400,850,95.0,98.0,9.3,37,16095.0,52,19980,0.929245283,82.8,34.83822279,Northeast,Small,Public,Low
Chestnut Hill College,Yes,342.0,254,126,25.0,64,518,232,9998.0,4200.0,700,850,75.0,82.0,8.3,29,8415.0,73,16900,0.742690058,61.8,57.89060548,South,Small,Private,Medium
Christendom College,Yes,81.0,72,51,33.0,71,139,3,8730.0,3600.0,400,800,92.0,92.0,9.3,17,10922.0,58,13530,0.888888889,80.2,43.14039553,South,Small,Public,Low
Christian Brothers University,Yes,880.0,520,224,16.0,42,1068,364,9300.0,3260.0,600,900,81.0,81.0,11.1,24,8129.0,63,14060,0.590909091,68.0,45.07631516,Northeast,Small,Religious,Medium
Christopher Newport University,No,883.0,766,428,3.0,37,2910,1749,7860.0,4750.0,525,1889,80.0,82.0,21.2,16,4639.0,48,15024,0.867497169,65.4,32.51157653,Midwest,Medium,Religious,Low
Claflin College,Yes,1196.0,697,499,21.0,47,959,13,4412.0,4200.0,500,1000,69.0,69.0,16.9,31,7083.0,21,5912,0.58277592,59.4,12.78099537,South,Small,Private,Low
Claremont McKenna College,Yes,1860.0,767,227,71.0,93,887,1,17000.0,6010.0,500,850,99.0,99.0,9.6,52,18443.0,87,24360,0.412365591,93.4,62.34109532,West,Small,Private,High
Clark University,Yes,2887.0,2059,457,30.0,61,1928,296,17500.0,4200.0,500,950,94.0,95.0,10.5,35,11951.0,79,23150,0.71319709,81.6,54.03812938,West,Small,Public,High
Clarke College,Yes,460.0,340,167,23.0,45,604,350,10740.0,3676.0,350,900,67.0,71.0,11.0,27,7963.0,74,15666,0.739130435,59.8,51.58710689,Northeast,Small,Private,Medium
Clarkson University,Yes,2174.0,1953,557,35.0,68,2332,53,15960.0,5580.0,700,1300,95.0,95.0,15.8,32,11659.0,77,23540,0.898344066,83.0,54.29299353,Northeast,Medium,Private,High
Clemson University,No,8065.0,5257,2301,37.0,65,11755,770,8116.0,3610.0,800,1618,82.0,88.0,18.0,17,7597.0,73,14144,0.65182889,75.4,47.70964236,Midwest,Large,Public,Medium
Clinch Valley Coll. of  the Univ. of Virginia,No,689.0,561,250,15.0,30,1125,422,7168.0,3689.0,600,1900,67.0,67.0,18.1,9,4417.0,46,13357,0.814223512,56.6,34.86064687,Northeast,Small,Private,Low
Coe College,Yes,1006.0,742,275,29.0,60,1127,205,13925.0,4390.0,500,2200,73.0,86.0,12.7,32,10141.0,67,21015,0.737574553,69.4,61.47122324,South,Small,Private,Medium
Coker College,Yes,604.0,452,295,15.0,47,690,222,9888.0,4502.0,400,1000,64.0,77.0,12.1,39,8741.0,75,15790,0.748344371,59.4,43.6150668,Northeast,Small,Private,Medium
Colby College,Yes,2848.0,1319,456,58.0,84,1720,35,18930.0,4200.0,500,1000,75.0,94.0,10.2,41,15954.0,91,20430,0.463132022,79.2,65.32006262,Northeast,Small,Private,Elite
Colgate University,Yes,4856.0,2492,727,46.0,75,2649,25,19510.0,5565.0,500,750,95.0,98.0,10.5,45,15494.0,93,26325,0.513179572,86.4,61.29904956,Northeast,Medium,Private,Elite
College Misericordia,Yes,1432.0,888,317,29.0,58,1121,493,10860.0,5760.0,550,900,56.0,62.0,12.9,23,8604.0,96,18070,0.620111732,53.0,70.08701289,Midwest,Small,Private,Elite
College of Charleston,No,4772.0,3140,1265,22.0,55,6851,1200,6120.0,3460.0,666,2316,73.0,78.0,17.2,18,4776.0,51,12562,0.658005029,64.8,35.93278737,West,Medium,Public,Low
College of Mount St. Joseph,Yes,798.0,620,238,14.0,41,1165,1232,9800.0,4430.0,400,1150,46.0,46.0,11.1,35,6889.0,100,15780,0.776942356,39.6,73.80927387,Northeast,Small,Public,Elite
College of Mount St. Vincent,Yes,946.0,648,177,23.0,46,707,432,11790.0,5770.0,500,1000,75.0,77.0,11.9,35,10015.0,83,19060,0.684989429,65.4,63.97753288,West,Small,Public,High
College of Notre Dame,Yes,344.0,264,97,11.0,42,500,331,12600.0,5520.0,630,2250,77.0,80.0,10.4,7,9773.0,43,21000,0.76744186,65.0,31.06210559,Midwest,Small,Private,Low
College of Notre Dame of Maryland,Yes,457.0,356,177,35.0,61,667,1983,11180.0,5620.0,600,700,64.0,64.0,11.5,32,7477.0,75,18100,0.778993435,58.2,58.16026144,Northeast,Small,Public,Medium
College of Saint Benedict,Yes,938.0,864,511,29.0,62,1715,103,12247.0,4221.0,7000,600,70.0,88.0,13.1,26,8847.0,72,24068,0.921108742,69.0,38.67851053,Midwest,Small,Public,Medium
College of Saint Catherine,Yes,511.0,411,186,23.0,51,1692,562,12224.0,4440.0,450,1000,63.0,87.0,11.5,32,7315.0,77,18114,0.804305284,64.6,61.85226149,South,Small,Public,High
College of Saint Elizabeth,Yes,444.0,359,122,34.0,53,493,968,10900.0,5250.0,380,1000,68.0,70.0,11.4,23,9447.0,78,17530,0.808558559,62.0,56.47531076,Northeast,Small,Public,High
College of Saint Rose,Yes,983.0,664,249,23.0,57,1698,894,9998.0,5666.0,800,1500,66.0,71.0,14.3,28,6084.0,64,7966,0.675483215,59.4,50.18921678,Northeast,Small,Private,Medium
College of Santa Fe,Yes,546.0,447,189,16.0,42,873,683,11138.0,4200.0,600,1200,75.0,74.0,14.0,7,8820.0,80,12938,0.818681319,62.8,49.90062128,West,Small,Public,High
College of St. Joseph,Yes,141.0,118,55,12.0,21,201,173,8300.0,4850.0,450,1300,53.0,53.0,9.5,19,6936.0,76,14900,0.836879433,44.8,49.04615059,South,Small,Public,High
College of St. Scholastica,Yes,672.0,596,278,29.0,60,1350,275,11844.0,3696.0,450,1146,54.0,76.0,11.6,33,8996.0,72,17136,0.886904762,57.8,51.12969147,Midwest,Small,Private,Medium
